                   0 a=    x, b=    x, c=x, sum=    z, carry=z
                 6130                6130 a=14256, b=26358, c=0, sum=40676, carry=0
                 6140                6140 a=23029, b=20890, c=0, sum=40614, carry=0
                 6150                6150 a=22753, b= 8341, c=0, sum=43919, carry=0
                 6160                6160 a=21415, b=21908, c=0, sum=31094, carry=0
                 6170                6170 a=10329, b= 9295, c=0, sum=43323, carry=0
                 6180                6180 a=22616, b=12025, c=0, sum=19624, carry=0
                 6190                6190 a=28709, b=26901, c=0, sum=34641, carry=0
                 6200                6200 a=19363, b=29816, c=0, sum=55610, carry=0
                 6210                6210 a=16470, b= 9588, c=0, sum=48155, carry=0
                 6220                6220 a=17149, b= 3937, c=0, sum=26058, carry=0
                 6230                6230 a=28411, b= 3468, c=0, sum=21086, carry=0
                 6240                6240 a=22893, b=28756, c=0, sum=31879, carry=0
                 6250                6250 a=18702, b=20143, c=0, sum=51649, carry=0
                 6260                6260 a=14617, b= 6268, c=0, sum=40893, carry=0
                 6270                6270 a=27982, b= 5117, c=0, sum=20885, carry=0
                 6280                6280 a=24048, b=11267, c=0, sum=24907, carry=0
                 6290                6290 a= 4612, b=27051, c=0, sum=35571, carry=0
                 6300                6300 a= 8513, b=13860, c=0, sum=64431, carry=0
                 6310                6310 a= 5305, b=15219, c=0, sum=22373, carry=0
                 6320                6320 a= 2675, b=14348, c=0, sum=19500, carry=0
                 6330                6330 a=19416, b=18842, c=0, sum=16927, carry=0
                 6340                6340 a=22589, b=24238, c=0, sum=38258, carry=0
                 6350                6350 a= 6396, b=19179, c=0, sum=46827, carry=0
                 6360                6360 a=15720, b=23578, c=0, sum=25575, carry=0
                 6370                6370 a=21853, b=29070, c=0, sum=39298, carry=0
                 6380                6380 a=26646, b= 3691, c=0, sum=50923, carry=0
                 6390                6390 a=17179, b=23364, c=0, sum=30401, carry=0
                 6400                6400 a=15248, b= 4708, c=0, sum=40543, carry=0
                 6410                6410 a=14409, b=10205, c=0, sum=19956, carry=0
                 6420                6420 a=22850, b= 5829, c=0, sum=22566, carry=0
                 6430                6430 a= 8873, b= 5998, c=0, sum=28679, carry=0
                 6440                6440 a=23581, b= 8992, c=0, sum=14871, carry=0
                 6450                6450 a=18123, b=25611, c=0, sum=36669, carry=0
                 6460                6460 a=   65, b=14498, c=0, sum=43734, carry=0
                 6470                6470 a=16611, b=20363, c=0, sum=14563, carry=0
                 6480                6480 a=23384, b=21617, c=0, sum=32878, carry=0
                 6490                6490 a=24652, b= 8303, c=0, sum=49097, carry=0
                 6500                6500 a= 9808, b=28078, c=0, sum=32955, carry=0
                 6510                6510 a= 5653, b=22985, c=0, sum=37502, carry=0
                 6520                6520 a= 4029, b=16055, c=0, sum=32734, carry=0
                 6530                6530 a=10580, b=24636, c=0, sum=20084, carry=0
                 6540                6540 a=29503, b=21791, c=0, sum=35216, carry=0
                 6550                6550 a= 5857, b=10296, c=0, sum=51294, carry=0
                 6560                6560 a=21418, b= 8811, c=0, sum=24345, carry=0
                 6570                6570 a=19113, b=14006, c=0, sum=30229, carry=0
                 6580                6580 a=11363, b=27871, c=0, sum=  351, carry=0
                 6590                6590 a=22045, b=29265, c=0, sum=39170, carry=0
                 6600                6600 a=20420, b=11937, c=0, sum=51310, carry=0
                 6610                6610 a=19142, b=13800, c=0, sum=32357, carry=0
                 6620                6620 a=29156, b=10191, c=0, sum=32942, carry=0
                 6630                6630 a=11130, b=23038, c=0, sum=39347, carry=0
                 6640                6640 a=29863, b=18534, c=0, sum=34168, carry=0
                 6650                6650 a=27405, b=15440, c=0, sum=64781, carry=0
                 6660                6660 a=12346, b=24692, c=0, sum=42845, carry=0
                 6670                6670 a=22259, b=18896, c=0, sum=37038, carry=0
                 6680                6680 a= 5212, b=24752, c=0, sum=37059, carry=0
                 6690                6690 a=  601, b=10175, c=0, sum=29964, carry=0
                 6700                6700 a=17702, b= 9463, c=0, sum=10776, carry=0
                 6710                6710 a= 3443, b=26710, c=0, sum=27165, carry=0
                 6720                6720 a= 7082, b= 2986, c=0, sum=30153, carry=0
                 6730                6730 a=21441, b=15384, c=0, sum=10068, carry=0
                 6740                6740 a= 5549, b= 2001, c=0, sum=39897, carry=0
                 6750                6750 a=16824, b=26371, c=0, sum= 7550, carry=0
                 6760                6760 a=27628, b=29029, c=0, sum=43195, carry=0
                 6770                6770 a=12606, b=12399, c=0, sum=56657, carry=0
                 6780                6780 a=25908, b=19697, c=0, sum=25005, carry=0
                 6790                6790 a=17267, b=  888, c=0, sum=45605, carry=0
                 6800                6800 a=17325, b=18681, c=0, sum=18155, carry=0
                 6810                6810 a=20376, b= 8309, c=0, sum=36006, carry=0
                 6820                6820 a= 6168, b= 4883, c=0, sum=28685, carry=0
                 6830                6830 a=18096, b=23354, c=0, sum=11051, carry=0
                 6840                6840 a= 3063, b= 2688, c=0, sum=41450, carry=0
                 6850                6850 a=18464, b=12814, c=0, sum= 5751, carry=0
                 6860                6860 a= 1807, b=28578, c=0, sum=31278, carry=0
                 6870                6870 a=28226, b= 8692, c=0, sum=30385, carry=0
                 6880                6880 a=13736, b=14840, c=0, sum=34870, carry=0
                 6890                6890 a= 6910, b=22568, c=0, sum=28576, carry=0
                 6900                6900 a=24013, b=21419, c=0, sum=29478, carry=0
                 6910                6910 a= 4255, b= 6008, c=0, sum=45432, carry=0
                 6920                6920 a=28288, b= 4705, c=0, sum= 9751, carry=0
                 6930                6930 a=23220, b=10625, c=0, sum=16609, carry=0
                 6940                6940 a= 3553, b=20949, c=0, sum=33845, carry=0
                 6950                6950 a=12715, b=21323, c=0, sum=24502, carry=0
                 6960                6960 a=15566, b=11324, c=0, sum=34038, carry=0
                 6970                6970 a=17478, b=14464, c=0, sum=26890, carry=0
                 6980                6980 a=12338, b=20341, c=0, sum=64710, carry=0
                 6990                6990 a= 6045, b=13333, c=0, sum=32679, carry=0
                 7000                7000 a=16055, b=17432, c=0, sum=19378, carry=0
                 7010                7010 a= 2616, b=12360, c=0, sum=33487, carry=0
                 7020                7020 a= 3367, b=27035, c=0, sum=14976, carry=0
                 7030                7030 a=11719, b=16626, c=0, sum=30338, carry=0
                 7040                7040 a=16803, b=19718, c=0, sum=28345, carry=0
                 7050                7050 a=10257, b=21892, c=0, sum=36521, carry=0
                 7060                7060 a=26676, b=  210, c=0, sum=32149, carry=0
                 7070                7070 a=16386, b=22300, c=0, sum=26886, carry=0
                 7080                7080 a= 7048, b=16724, c=0, sum=38686, carry=0
                 7090                7090 a= 5970, b=18028, c=0, sum=23772, carry=0
                 7100                7100 a=28564, b=11055, c=0, sum=23998, carry=0
                 7110                7110 a=14005, b=10577, c=0, sum=39619, carry=0
                 7120                7120 a=17349, b=29083, c=0, sum=30726, carry=0
                 7130                7130 a=22422, b=11610, c=0, sum=46432, carry=0
                 7140                7140 a=28277, b= 3645, c=0, sum= 1264, carry=0
                 7150                7150 a= 6838, b= 1163, c=0, sum=31922, carry=0
                 7160                7160 a= 4222, b= 6451, c=0, sum= 7937, carry=0
                 7170                7170 a= 8932, b=20628, c=0, sum=10673, carry=0
                 7180                7180 a=14770, b= 2866, c=0, sum=29560, carry=0
                 7190                7190 a=17841, b=11461, c=0, sum=17636, carry=0
                 7200                7200 a=22787, b=23612, c=0, sum=29302, carry=0
                 7210                7210 a=16327, b= 5313, c=0, sum=46367, carry=0
                 7220                7220 a=19518, b=27735, c=0, sum=21640, carry=0
                 7230                7230 a=10198, b=15236, c=0, sum=47253, carry=0
                 7240                7240 a=23888, b=29587, c=0, sum=25434, carry=0
                 7250                7250 a= 9273, b= 2450, c=0, sum=53475, carry=0
                 7260                7260 a= 4974, b=11917, c=0, sum=11723, carry=0
                 7270                7270 a=26653, b=20269, c=0, sum= 1019, carry=0
                 7280                7280 a=10903, b= 3995, c=0, sum=46922, carry=0
                 7290                7290 a=12382, b=28262, c=0, sum=14898, carry=0
                 7300                7300 a=28346, b= 2647, c=0, sum=48836, carry=0
                 7310                7310 a= 9293, b=15180, c=0, sum=30993, carry=0
                 7320                7320 a= 3893, b=21762, c=0, sum=20377, carry=0
                 7330                7330 a=11827, b=12835, c=0, sum=25655, carry=0
                 7340                7340 a= 2749, b=14512, c=0, sum=24662, carry=0
                 7350                7350 a=19145, b= 8300, c=0, sum=17261, carry=0
                 7360                7360 a= 6200, b=16314, c=0, sum=27445, carry=0
                 7370                7370 a= 5826, b=27277, c=0, sum=24562, carry=0
                 7380                7380 a=26620, b=26431, c=0, sum=16719, carry=0
                 7390                7390 a= 9945, b=10956, c=0, sum=53051, carry=0
                 7400                7400 a= 7136, b= 8924, c=0, sum=20901, carry=0
                 7410                7410 a= 5761, b=18127, c=0, sum=16060, carry=0
                 7420                7420 a=17656, b=28995, c=0, sum=23888, carry=0
                 7430                7430 a=24808, b=20841, c=0, sum=46651, carry=0
                 7440                7440 a=19037, b=  936, c=0, sum=45649, carry=0
                 7450                7450 a=13759, b= 2939, c=0, sum=19461, carry=0
                 7460                7460 a= 2957, b=12662, c=0, sum=16698, carry=0
                 7470                7470 a= 8539, b=14769, c=0, sum=15619, carry=0
                 7480                7480 a=14847, b= 8703, c=0, sum=23308, carry=0
                 7490                7490 a=18186, b= 4827, c=0, sum=23550, carry=0
                 7500                7500 a=29917, b=13973, c=0, sum=23013, carry=0
                 7510                7510 a= 2575, b=12301, c=0, sum=43890, carry=0
                 7520                7520 a=13802, b=18263, c=0, sum=14876, carry=0
                 7530                7530 a= 4605, b=16109, c=0, sum=32065, carry=0
                 7540                7540 a=23530, b= 4011, c=0, sum=20714, carry=0
                 7550                7550 a=13650, b=29273, c=0, sum=27541, carry=0
                 7560                7560 a=16819, b=23686, c=0, sum=42923, carry=0
                 7570                7570 a=12157, b=28822, c=0, sum=40505, carry=0
                 7580                7580 a= 5826, b=14734, c=0, sum=44563, carry=0
                 7590                7590 a=26050, b=11991, c=0, sum=20560, carry=0
                 7600                7600 a=15342, b=14197, c=0, sum=38041, carry=0
                 7610                7610 a= 8670, b= 2269, c=0, sum=29539, carry=0
                 7620                7620 a=20631, b=29892, c=0, sum=10939, carry=0
                 7630                7630 a=22242, b=25177, c=0, sum=50523, carry=0
                 7640                7640 a= 1846, b=21549, c=0, sum=47419, carry=0
                 7650                7650 a=19557, b= 8395, c=0, sum=23395, carry=0
                 7660                7660 a=15343, b= 8044, c=0, sum=27952, carry=0
                 7670                7670 a=29019, b=10583, c=0, sum=23387, carry=0
                 7680                7680 a=19192, b= 9315, c=0, sum=39602, carry=0
                 7690                7690 a=23212, b=18095, c=0, sum=28507, carry=0
                 7700                7700 a=28347, b=29072, c=0, sum=41307, carry=0
                 7710                7710 a=22015, b=14919, c=0, sum=49227, carry=0
                 7720                7720 a=11376, b=11758, c=0, sum=38982, carry=0
                 7730                7730 a=  421, b= 6882, c=0, sum=23166, carry=0
                 7740                7740 a= 4580, b= 5860, c=0, sum= 7303, carry=0
                 7750                7750 a=15056, b= 3331, c=0, sum=10440, carry=0
                 7760                7760 a=11059, b=20911, c=0, sum=19411, carry=0
                 7770                7770 a=23868, b= 2884, c=0, sum=64738, carry=0
                 7780                7780 a=29157, b= 8724, c=0, sum=26752, carry=0
                 7790                7790 a=21982, b=25614, c=0, sum=38137, carry=0
                 7800                7800 a= 5945, b= 7892, c=0, sum=47596, carry=0
                 7810                7810 a=22666, b=  205, c=0, sum=13837, carry=0
                 7820                7820 a=21206, b=22692, c=0, sum=22871, carry=0
                 7830                7830 a=18652, b= 4705, c=0, sum=43898, carry=0
                 7840                7840 a=21434, b=12167, c=0, sum=23357, carry=0
                 7850                7850 a=13611, b=21559, c=0, sum=17153, carry=0
                 7860                7860 a=21801, b=27678, c=0, sum=35170, carry=0
                 7870                7870 a=25782, b=13595, c=0, sum=49479, carry=0
                 7880                7880 a= 7733, b=14346, c=0, sum=39377, carry=0
                 7890                7890 a=11051, b=20248, c=0, sum=22143, carry=0
                 7900                7900 a=25472, b=24193, c=0, sum=31299, carry=0
                 7910                7910 a=27532, b= 1613, c=0, sum=49665, carry=0
                 7920                7920 a=15441, b= 5433, c=0, sum=29145, carry=0
                 7930                7930 a=22479, b=19521, c=0, sum=20874, carry=0
                 7940                7940 a=13263, b=26930, c=0, sum=42000, carry=0
                 7950                7950 a=12527, b= 7728, c=0, sum=40193, carry=0
                 7960                7960 a=26037, b=18648, c=0, sum=20255, carry=0
                 7970                7970 a= 5175, b=  158, c=0, sum=44685, carry=0
                 7980                7980 a=  225, b= 7447, c=0, sum= 5333, carry=0
                 7990                7990 a= 8301, b= 8184, c=0, sum= 7928, carry=0
                 8000                8000 a=17599, b=26738, c=0, sum= 6245, carry=0
                 8010                8010 a= 3483, b=15796, c=0, sum=44337, carry=0
                 8020                8020 a= 7830, b= 4588, c=0, sum=19279, carry=0
                 8030                8030 a=18885, b= 3585, c=0, sum=12290, carry=0
                 8040                8040 a=16263, b=13784, c=0, sum=23494, carry=0
                 8050                8050 a=21399, b=20914, c=0, sum=30079, carry=0
                 8060                8060 a=18782, b= 7003, c=0, sum=42313, carry=0
                 8070                8070 a=28173, b=13362, c=0, sum=25785, carry=0
                 8080                8080 a=19476, b= 1535, c=0, sum=41599, carry=0
                 8090                8090 a=24008, b=12991, c=0, sum=20499, carry=0
                 8100                8100 a=15922, b=29440, c=0, sum=36999, carry=0
                 8110                8110 a=24817, b= 7127, c=0, sum=45362, carry=0
                 8120                8120 a= 1609, b=21473, c=0, sum=64712, carry=0
                 8130                8130 a=20943, b=17414, c=0, sum=23082, carry=0
                 8140                8140 a=26915, b= 2246, c=0, sum=38357, carry=0
                 8150                8150 a= 5964, b= 6787, c=0, sum=29161, carry=0
                 8160                8160 a=16496, b=  172, c=0, sum=12751, carry=0
                 8170                8170 a=22953, b= 3819, c=0, sum=16668, carry=0
                 8180                8180 a=21694, b=14216, c=0, sum=26772, carry=0
                 8190                8190 a=15810, b=25453, c=0, sum=35910, carry=0
                 8200                8200 a= 6708, b=11341, c=0, sum=41263, carry=0
                 8210                8210 a=29611, b=11204, c=0, sum=17921, carry=0
                 8220                8220 a=11903, b=19053, c=0, sum=40815, carry=0
                 8230                8230 a=28108, b= 5155, c=0, sum=30956, carry=0
                 8240                8240 a= 3039, b=13637, c=0, sum=33775, carry=0
                 8250                8250 a= 3612, b=19870, c=0, sum= 8484, carry=0
                 8260                8260 a= 7703, b= 4777, c=0, sum=23482, carry=0
                 8270                8270 a=25830, b=29667, c=0, sum=12448, carry=0
                 8280                8280 a=20640, b=15155, c=0, sum=55497, carry=0
                 8290                8290 a=  177, b= 2181, c=0, sum=35795, carry=0
                 8300                8300 a= 5753, b=24970, c=0, sum= 2358, carry=0
                 8310                8310 a=23890, b=15536, c=0, sum=30467, carry=0
                 8320                8320 a= 3627, b=24645, c=0, sum=39426, carry=0
                 8330                8330 a=15095, b=  841, c=0, sum=28272, carry=0
                 8340                8340 a= 6899, b=15290, c=0, sum=15936, carry=0
                 8350                8350 a=20508, b=   12, c=0, sum=22189, carry=0
                 8360                8360 a=  722, b=21609, c=0, sum=20520, carry=0
                 8370                8370 a= 4768, b= 6122, c=0, sum=22331, carry=0
                 8380                8380 a=21835, b=18670, c=0, sum=10890, carry=0
                 8390                8390 a= 4096, b=22107, c=0, sum=40505, carry=0
                 8400                8400 a=16205, b= 5576, c=0, sum=26203, carry=0
                 8410                8410 a= 9099, b=25352, c=0, sum=21781, carry=0
                 8420                8420 a=20491, b=21120, c=0, sum=34451, carry=0
                 8430                8430 a= 4119, b= 5166, c=0, sum=41611, carry=0
                 8440                8440 a=15068, b=23990, c=0, sum= 9285, carry=0
                 8450                8450 a=25554, b= 6834, c=0, sum=39058, carry=0
                 8460                8460 a=14904, b=21715, c=0, sum=65156, carry=0
                 8470                8470 a=28718, b=18135, c=0, sum=36619, carry=0
                 8480                8480 a=29082, b=19558, c=0, sum=46725, carry=0
                 8490                8490 a= 2785, b=17988, c=0, sum=48640, carry=0
                 8500                8500 a= 2352, b=10577, c=0, sum=20773, carry=0
                 8510                8510 a=17273, b= 6418, c=0, sum=12929, carry=0
                 8520                8520 a=13406, b=17601, c=0, sum=23691, carry=0
                 8530                8530 a=28728, b=28294, c=0, sum=31007, carry=0
                 8540                8540 a=15540, b=24585, c=0, sum=57022, carry=0
                 8550                8550 a= 2180, b=15004, c=0, sum=40125, carry=0
                 8560                8560 a= 1300, b= 8410, c=0, sum=17184, carry=0
                 8570                8570 a=20572, b=14639, c=0, sum= 9710, carry=0
                 8580                8580 a=17845, b=20960, c=0, sum=35211, carry=0
                 8590                8590 a= 4343, b=  983, c=0, sum=38805, carry=0
                 8600                8600 a= 6342, b=18510, c=0, sum= 5326, carry=0
                 8610                8610 a=20542, b=27804, c=0, sum=24852, carry=0
                 8620                8620 a= 7756, b= 6522, c=0, sum=48346, carry=0
                 8630                8630 a=13226, b= 6661, c=0, sum=14278, carry=0
                 8640                8640 a=22491, b= 1534, c=0, sum=19887, carry=0
                 8650                8650 a=24554, b=12969, c=0, sum=24025, carry=0
                 8660                8660 a=  471, b= 9347, c=0, sum=37523, carry=0
                 8670                8670 a= 9927, b=27500, c=0, sum= 9818, carry=0
                 8680                8680 a=13614, b= 4994, c=0, sum=37427, carry=0
                 8690                8690 a=10922, b=10837, c=0, sum=18608, carry=0
                 8700                8700 a= 1474, b= 9093, c=0, sum=21823, carry=0
                 8710                8710 a=22860, b=  977, c=0, sum=10567, carry=0
                 8720                8720 a=19677, b= 6041, c=0, sum=23837, carry=0
                 8730                8730 a=20575, b=17611, c=0, sum=25718, carry=0
                 8740                8740 a=17492, b= 8635, c=0, sum=38186, carry=0
                 8750                8750 a=14352, b=17063, c=0, sum=26127, carry=0
                 8760                8760 a=16511, b=14099, c=0, sum=31415, carry=0
                 8770                8770 a=  508, b=16236, c=0, sum=30610, carry=0
                 8780                8780 a=13275, b= 6033, c=0, sum= 8552, carry=0
                 8790                8790 a=15606, b=15153, c=0, sum=19308, carry=0
                 8800                8800 a= 4565, b=17844, c=0, sum=29735, carry=0
                 8810                8810 a= 5964, b=17213, c=0, sum=22409, carry=0
                 8820                8820 a= 3155, b=28336, c=0, sum=23177, carry=0
                 8830                8830 a=23292, b=24431, c=0, sum=31491, carry=0
                 8840                8840 a=27728, b= 1251, c=0, sum=47723, carry=0
                 8850                8850 a=25450, b= 8873, c=0, sum=28979, carry=0
                 8860                8860 a=25509, b= 5854, c=0, sum=34323, carry=0
                 8870                8870 a= 2197, b=29403, c=0, sum=31235, carry=0
                 8880                8880 a=13773, b=19591, c=0, sum=64368, carry=0
                 8890                8890 a=23643, b=27583, c=0, sum=  596, carry=0
                 8900                8900 a=19711, b= 7182, c=0, sum=50714, carry=0
                 8910                8910 a=  357, b=13439, c=0, sum=26893, carry=0
                 8920                8920 a= 6115, b=13543, c=0, sum=13796, carry=0
                 8930                8930 a= 8247, b=24992, c=0, sum=19658, carry=0
                 8940                8940 a=  689, b=29937, c=0, sum=33239, carry=0
                 8950                8950 a= 3033, b= 7705, c=0, sum=30626, carry=0
                 8960                8960 a=11834, b=27370, c=0, sum=10738, carry=0
                 8970                8970 a=14877, b=13839, c=0, sum=39204, carry=0
                 8980                8980 a= 6472, b=24653, c=0, sum=28716, carry=0
                 8990                8990 a=19319, b=  822, c=0, sum=63893, carry=0
                 9000                9000 a= 9961, b=25474, c=0, sum=20141, carry=0
                 9010                9010 a=23775, b=11438, c=0, sum=35435, carry=0
                 9020                9020 a=16903, b=13320, c=0, sum=35213, carry=0
                 9030                9030 a= 6114, b=28918, c=0, sum=30223, carry=0
                 9040                9040 a= 8416, b= 5218, c=0, sum=35032, carry=0
                 9050                9050 a=12158, b=10356, c=0, sum=13634, carry=0
                 9060                9060 a=17412, b=22715, c=0, sum=22514, carry=0
                 9070                9070 a=20223, b= 4774, c=0, sum=40127, carry=0
                 9080                9080 a= 6945, b=15654, c=0, sum=24997, carry=0
                 9090                9090 a=22902, b= 7711, c=0, sum=22599, carry=0
                 9100                9100 a=   67, b=12057, c=0, sum=30613, carry=0
                 9110                9110 a= 6931, b= 9140, c=0, sum=12124, carry=0
                 9120                9120 a= 9136, b= 1318, c=0, sum=16071, carry=0
                 9130                9130 a=25013, b= 8307, c=0, sum=10454, carry=0
                 9140                9140 a=13423, b=12220, c=0, sum=33320, carry=0
                 9150                9150 a=27228, b=22054, c=0, sum=25643, carry=0
                 9160                9160 a=23895, b=13508, c=0, sum=49282, carry=0
                 9170                9170 a=18299, b= 3960, c=0, sum=37403, carry=0
                 9180                9180 a=19559, b= 6929, c=0, sum=22259, carry=0
                 9190                9190 a=24928, b=16837, c=0, sum=26488, carry=0
                 9200                9200 a= 3593, b=27980, c=0, sum=41765, carry=0
                 9210                9210 a=16769, b= 3931, c=0, sum=31573, carry=0
                 9220                9220 a=26714, b=21004, c=0, sum=20700, carry=0
                 9230                9230 a=27776, b=13118, c=0, sum=47718, carry=0
                 9240                9240 a=22357, b=13792, c=0, sum=40894, carry=0
                 9250                9250 a= 8278, b=19754, c=0, sum=36149, carry=0
                 9260                9260 a= 3628, b= 6052, c=0, sum=27968, carry=0
                 9270                9270 a=18734, b= 9952, c=0, sum= 9680, carry=0
                 9280                9280 a= 3623, b=21849, c=0, sum=26638, carry=0
                 9290                9290 a=  857, b=20310, c=0, sum=25440, carry=0
                 9300                9300 a=13067, b=16497, c=0, sum=21167, carry=0
                 9310                9310 a= 7820, b=21052, c=0, sum=29564, carry=0
                 9320                9320 a=10641, b=28904, c=0, sum=28872, carry=0
                 9330                9330 a=19816, b=19650, c=0, sum=39673, carry=0
                 9340                9340 a= 6032, b=23486, c=0, sum=39466, carry=0
                 9350                9350 a= 9475, b=24464, c=0, sum=29518, carry=0
                 9360                9360 a= 6948, b=29506, c=0, sum=33939, carry=0
                 9370                9370 a=19185, b=   29, c=0, sum=36454, carry=0
                 9380                9380 a=17247, b= 4325, c=0, sum=19214, carry=0
                 9390                9390 a= 2947, b=19535, c=0, sum=21572, carry=0
                 9400                9400 a=17615, b= 9023, c=0, sum=23506, carry=0
                 9410                9410 a= 3355, b=16296, c=0, sum=26126, carry=0
                 9420                9420 a=27795, b= 7458, c=0, sum=19651, carry=0
                 9430                9430 a=20392, b=29891, c=0, sum=35253, carry=0
                 9440                9440 a=19223, b= 2427, c=0, sum=50283, carry=0
                 9450                9450 a=23780, b=16128, c=0, sum=21650, carry=0
                 9460                9460 a=24247, b=28732, c=0, sum=40420, carry=0
                 9470                9470 a=14572, b= 1131, c=0, sum=52979, carry=0
                 9480                9480 a= 1330, b= 9764, c=0, sum=15703, carry=0
                 9490                9490 a=28886, b=29200, c=0, sum=11094, carry=0
                 9500                9500 a= 6640, b=28971, c=0, sum=58086, carry=0
                 9510                9510 a=21111, b=11643, c=0, sum=35611, carry=0
                 9520                9520 a=29748, b=22728, c=0, sum=20466, carry=0
                 9530                9530 a= 2599, b= 8636, c=0, sum=52540, carry=0
                 9540                9540 a= 4699, b=24609, c=0, sum=11235, carry=0
                 9550                9550 a=24475, b=24664, c=0, sum=29436, carry=0
                 9560                9560 a=11433, b=21350, c=0, sum=49139, carry=0
                 9570                9570 a=18052, b= 7384, c=0, sum=31759, carry=0
                 9580                9580 a= 9972, b= 6604, c=0, sum=25436, carry=0
                 9590                9590 a= 3659, b=21773, c=0, sum= 8384, carry=0
                 9600                9600 a=19407, b=14251, c=0, sum=25432, carry=0
                 9610                9610 a= 8761, b=17948, c=0, sum=50042, carry=0
                 9620                9620 a=24934, b=28869, c=0, sum=26709, carry=0
                 9630                9630 a=13193, b=27889, c=0, sum=53803, carry=0
                 9640                9640 a=16466, b= 9700, c=0, sum=41210, carry=0
                 9650                9650 a=12926, b=24588, c=0, sum=26166, carry=0
                 9660                9660 a=22482, b= 8542, c=0, sum=37514, carry=0
                 9670                9670 a=22225, b=18273, c=0, sum=31024, carry=0
                 9680                9680 a= 4998, b=10505, c=0, sum=40498, carry=0
                 9690                9690 a=  962, b=13314, c=0, sum=15503, carry=0
                 9700                9700 a=27963, b=20290, c=0, sum=14276, carry=0
                 9710                9710 a=23328, b=28884, c=0, sum=48253, carry=0
                 9720                9720 a=24086, b=17518, c=0, sum=52212, carry=0
                 9730                9730 a=18484, b=28498, c=0, sum=41476, carry=0
                 9740                9740 a= 2787, b=25187, c=0, sum=46982, carry=0
                 9750                9750 a= 8311, b=  211, c=0, sum=27974, carry=0
                 9760                9760 a=22152, b=15747, c=0, sum= 8522, carry=0
                 9770                9770 a= 6500, b=  160, c=0, sum=37899, carry=0
                 9780                9780 a=26962, b= 4314, c=0, sum= 6660, carry=0
                 9790                9790 a=20907, b=23746, c=0, sum=31276, carry=0
                 9800                9800 a=14077, b=23456, c=0, sum=44653, carry=0
                 9810                9810 a= 1826, b=21707, c=0, sum=37533, carry=0
                 9820                9820 a=23445, b=19956, c=0, sum=24557, carry=0
                 9830                9830 a=  764, b=18403, c=0, sum=43401, carry=0
                 9840                9840 a=23357, b=20730, c=0, sum=19167, carry=0
                 9850                9850 a=27305, b=18432, c=0, sum=44087, carry=0
                 9860                9860 a=19447, b= 9460, c=0, sum=45737, carry=0
                 9870                9870 a=11990, b=  769, c=0, sum=24811, carry=0
                 9880                9880 a= 7758, b=19785, c=0, sum=12759, carry=0
                 9890                9890 a= 9306, b= 7284, c=0, sum=27543, carry=0
                 9900                9900 a=21021, b=19696, c=0, sum=16590, carry=0
                 9910                9910 a= 7139, b=28356, c=0, sum=40717, carry=0
                 9920                9920 a=14400, b=20368, c=0, sum=35495, carry=0
                 9930                9930 a=15750, b=10874, c=0, sum=36816, carry=0
                 9940                9940 a=12462, b=27745, c=0, sum=26560, carry=0
                 9950                9950 a= 7823, b=26314, c=0, sum=40207, carry=0
                 9960                9960 a=24922, b=22518, c=0, sum= 1369, carry=0
                 9970                9970 a=22843, b=26263, c=0, sum=47440, carry=0
                 9980                9980 a=22451, b=26721, c=0, sum=51154, carry=0
                 9990                9990 a= 2349, b=23949, c=0, sum=47124, carry=0
                10000               10000 a=16917, b=28518, c=0, sum=26298, carry=0
                10010               10010 a=18266, b=10559, c=0, sum=45435, carry=0
                10020               10020 a=29806, b=23289, c=0, sum=28825, carry=0
                10030               10030 a=15831, b=13369, c=0, sum=53095, carry=0
                10040               10040 a=15891, b= 3730, c=0, sum=29200, carry=0
                10050               10050 a=21067, b=13255, c=0, sum=19621, carry=0
                10060               10060 a=  951, b= 7989, c=0, sum=34322, carry=0
                10070               10070 a=22944, b= 9415, c=0, sum= 8940, carry=0
                10080               10080 a= 6576, b= 6604, c=0, sum=48743, carry=0
                10090               10090 a=20412, b=26463, c=0, sum=13180, carry=0
                10100               10100 a= 5029, b=22731, c=0, sum=46875, carry=0
                10110               10110 a= 2204, b= 2222, c=0, sum=27760, carry=0
                10120               10120 a=18311, b= 3882, c=0, sum= 4426, carry=0
                10130               10130 a= 1978, b=14453, c=0, sum=22193, carry=0
                10140               10140 a=24572, b=17138, c=0, sum=23599, carry=0
                10150               10150 a= 9184, b=22656, c=0, sum=41710, carry=0
                10160               10160 a= 1697, b= 4018, c=0, sum=64608, carry=0
                10170               10170 a=21822, b=14369, c=0, sum= 5715, carry=0
                10180               10180 a=13414, b= 3837, c=0, sum=36191, carry=0
                10190               10190 a=10564, b=19980, c=0, sum=17251, carry=0
                10200               10200 a=25680, b=29482, c=0, sum=30544, carry=0
                10210               10210 a= 3363, b=28442, c=0, sum=55290, carry=0
                10220               10220 a=24077, b=27097, c=0, sum=31805, carry=0
                10230               10230 a= 2470, b= 8553, c=0, sum=51174, carry=0
                10240               10240 a=14711, b=20167, c=0, sum=11023, carry=0
                10250               10250 a= 6889, b= 9068, c=0, sum=34878, carry=0
                10260               10260 a=28617, b= 3725, c=0, sum=15957, carry=0
                10270               10270 a=28416, b=15482, c=0, sum=32342, carry=0
                10280               10280 a=25112, b=25676, c=0, sum=43898, carry=0
