                   0 a=    x, b=    x, c=x, sum=    z, carry=z
                  980                 980 a= 9567, b= 9769, c=0, sum=36409, carry=0
                  990                 990 a=12058, b= 8161, c=0, sum=19336, carry=0
                 1000                1000 a=24679, b=14481, c=0, sum=20347, carry=0
                 1010                1010 a= 3158, b= 5184, c=0, sum=39160, carry=0
                 1020                1020 a=22069, b=18965, c=0, sum= 8342, carry=0
                 1030                1030 a=12233, b=16401, c=0, sum=41034, carry=0
                 1040                1040 a=24805, b=  184, c=0, sum=27610, carry=0
                 1050                1050 a=17611, b= 3363, c=0, sum=24989, carry=0
                 1060                1060 a=18828, b=16554, c=0, sum=20974, carry=0
                 1070                1070 a= 5822, b= 4280, c=0, sum=35382, carry=0
                 1080                1080 a= 9417, b=21553, c=0, sum=10102, carry=0
                 1090                1090 a= 2430, b= 4054, c=0, sum=31226, carry=0
                 1100                1100 a= 4079, b= 1754, c=0, sum= 6484, carry=0
                 1110                1110 a=20890, b= 9741, c=0, sum= 5833, carry=0
                 1120                1120 a=16862, b=24408, c=0, sum=32679, carry=0
                 1130                1130 a= 2041, b= 7160, c=0, sum=33078, carry=0
                 1140                1140 a= 4090, b=16931, c=0, sum= 9201, carry=0
                 1150                1150 a=23419, b= 2215, c=0, sum=21021, carry=0
                 1160                1160 a=17958, b=12794, c=0, sum=25634, carry=0
                 1170                1170 a=26580, b= 5529, c=0, sum=30752, carry=0
                 1180                1180 a=24770, b=29412, c=0, sum=32109, carry=0
                 1190                1190 a=28719, b=22806, c=0, sum=54182, carry=0
                 1200                1200 a= 2042, b=17170, c=0, sum=51525, carry=0
                 1210                1210 a=24530, b=12973, c=0, sum=19212, carry=0
                 1220                1220 a=29860, b= 8964, c=0, sum=37439, carry=0
                 1230                1230 a= 6570, b=  985, c=0, sum=40872, carry=0
                 1240                1240 a= 5313, b=28526, c=0, sum= 7555, carry=0
                 1250                1250 a=18891, b=21515, c=0, sum= 1071, carry=0
                 1260                1260 a=25487, b= 8265, c=0, sum=40406, carry=0
                 1270                1270 a=28614, b= 6949, c=0, sum=33752, carry=0
                 1280                1280 a=18847, b=29979, c=0, sum=35563, carry=0
                 1290                1290 a=22744, b= 2814, c=0, sum=65210, carry=0
                 1300                1300 a= 7707, b=11458, c=0, sum=25558, carry=0
                 1310                1310 a= 1544, b=16893, c=0, sum=19165, carry=0
                 1320                1320 a= 8123, b= 6482, c=0, sum=18181, carry=0
                 1330                1330 a=26254, b= 9181, c=0, sum=14605, carry=0
                 1340                1340 a=19996, b=17064, c=0, sum=35435, carry=0
                 1350                1350 a= 4497, b= 4022, c=0, sum=37060, carry=0
                 1360                1360 a=13105, b= 2299, c=0, sum=  327, carry=0
                 1370                1370 a=13384, b=22339, c=0, sum=15404, carry=0
                 1380                1380 a=23862, b=25707, c=0, sum=35723, carry=0
                 1390                1390 a= 4306, b=18932, c=0, sum=49569, carry=0
                 1400                1400 a= 8035, b= 8504, c=0, sum=23238, carry=0
                 1410                1410 a= 1554, b= 8072, c=0, sum=  155, carry=0
                 1420                1420 a=20857, b=26805, c=0, sum= 9626, carry=0
                 1430                1430 a=14353, b= 7499, c=0, sum=47662, carry=0
                 1440                1440 a=16593, b=28968, c=0, sum=21852, carry=0
                 1450                1450 a=14567, b=14001, c=0, sum=45561, carry=0
                 1460                1460 a=11471, b= 7508, c=0, sum=28568, carry=0
                 1470                1470 a=29320, b= 3430, c=0, sum=18979, carry=0
                 1480                1480 a=22420, b= 9442, c=0, sum=50670, carry=0
                 1490                1490 a= 8246, b=25233, c=0, sum=31862, carry=0
                 1500                1500 a=15317, b=17597, c=0, sum=33479, carry=0
                 1510                1510 a=25739, b= 1029, c=0, sum=28818, carry=0
                 1520                1520 a=21645, b=14295, c=0, sum=26768, carry=0
                 1530                1530 a= 9444, b=27511, c=0, sum=35940, carry=0
                 1540                1540 a=22807, b=14025, c=0, sum=39003, carry=0
                 1550                1550 a=18713, b=26027, c=0, sum=37824, carry=0
                 1560                1560 a= 8985, b= 2897, c=0, sum=44740, carry=0
                 1570                1570 a=22273, b=19322, c=0, sum=11882, carry=0
                 1580                1580 a= 6074, b=26885, c=0, sum=41595, carry=0
                 1590                1590 a= 5395, b= 2124, c=0, sum=32959, carry=0
                 1600                1600 a=24066, b=19390, c=0, sum= 7519, carry=0
                 1610                1610 a= 7848, b=25039, c=0, sum=43392, carry=0
                 1620                1620 a=28102, b=12016, c=0, sum=45175, carry=0
                 1630                1630 a=19976, b=14992, c=0, sum=40118, carry=0
                 1640                1640 a=14392, b= 6694, c=0, sum=34968, carry=0
                 1650                1650 a= 1397, b=20560, c=0, sum=21086, carry=0
                 1660                1660 a=19140, b=13673, c=0, sum=21957, carry=0
                 1670                1670 a=19136, b= 9756, c=0, sum=28717, carry=0
                 1680                1680 a= 5546, b=  642, c=0, sum=28892, carry=0
                 1690                1690 a= 5893, b= 8257, c=0, sum= 6188, carry=0
                 1700                1700 a=14375, b=18627, c=0, sum=14150, carry=0
                 1710                1710 a= 5577, b= 3574, c=0, sum=33002, carry=0
                 1720                1720 a=21477, b=18625, c=0, sum= 9183, carry=0
                 1730                1730 a= 5885, b=22874, c=0, sum=40102, carry=0
                 1740                1740 a= 9991, b=27708, c=0, sum=28759, carry=0
                 1750                1750 a=26124, b=10817, c=0, sum=37699, carry=0
                 1760                1760 a=16667, b=10566, c=0, sum=36941, carry=0
                 1770                1770 a=12007, b=13678, c=0, sum=27233, carry=0
                 1780                1780 a=28876, b=28661, c=0, sum=25685, carry=0
                 1790                1790 a= 2848, b=12944, c=0, sum=57537, carry=0
                 1800                1800 a= 8834, b= 3156, c=0, sum=15792, carry=0
                 1810                1810 a=24317, b= 2669, c=0, sum=11990, carry=0
                 1820                1820 a=14219, b=19321, c=0, sum=26986, carry=0
                 1830                1830 a= 4094, b=13709, c=0, sum=33540, carry=0
                 1840                1840 a=24123, b=16703, c=0, sum=17803, carry=0
                 1850                1850 a=16163, b=28227, c=0, sum=44922, carry=0
                 1860                1860 a=20109, b=12913, c=0, sum=44390, carry=0
                 1870                1870 a=13876, b= 5877, c=0, sum=32958, carry=0
                 1880                1880 a=22272, b= 3741, c=0, sum=19753, carry=0
                 1890                1890 a=10354, b=28056, c=0, sum=26013, carry=0
                 1900                1900 a=23677, b= 2034, c=0, sum=37898, carry=0
                 1910                1910 a= 7572, b=27862, c=0, sum=25711, carry=0
                 1920                1920 a=23724, b=13936, c=0, sum=35434, carry=0
                 1930                1930 a= 7879, b=20154, c=0, sum=37660, carry=0
                 1940                1940 a= 3236, b=25434, c=0, sum=27969, carry=0
                 1950                1950 a= 9500, b=20928, c=0, sum=30782, carry=0
                 1960                1960 a=14298, b= 3915, c=0, sum=30428, carry=0
                 1970                1970 a=14662, b=22821, c=0, sum=18213, carry=0
                 1980                1980 a=25314, b=13362, c=0, sum=37483, carry=0
                 1990                1990 a= 3241, b=10836, c=0, sum=38676, carry=0
                 2000                2000 a=28429, b=11195, c=0, sum=14013, carry=0
                 2010                2010 a=20060, b=23415, c=0, sum=39624, carry=0
                 2020                2020 a=19142, b= 2137, c=0, sum=43475, carry=0
                 2030                2030 a=22628, b=21360, c=0, sum=21279, carry=0
                 2040                2040 a= 7500, b= 3036, c=0, sum=43988, carry=0
                 2050                2050 a= 2039, b=17162, c=0, sum=10536, carry=0
                 2060                2060 a=10001, b=13032, c=0, sum=19265, carry=0
                 2070                2070 a=26331, b=20307, c=0, sum=23161, carry=0
                 2080                2080 a=15644, b=23779, c=0, sum=46638, carry=0
                 2090                2090 a= 4212, b= 6905, c=0, sum=39839, carry=0
                 2100                2100 a=17641, b=25599, c=0, sum=11117, carry=0
                 2110                2110 a=27396, b= 2839, c=0, sum=43240, carry=0
                 2120                2120 a=19053, b= 9568, c=0, sum=30235, carry=0
                 2130                2130 a=25986, b=24953, c=0, sum=28621, carry=0
                 2140                2140 a=10361, b= 5984, c=0, sum=50939, carry=0
                 2150                2150 a=28188, b=28851, c=0, sum= 8153, carry=0
                 2160                2160 a=  595, b=   58, c=0, sum=57039, carry=0
                 2170                2170 a=  856, b= 4045, c=0, sum=  653, carry=0
                 2180                2180 a=21930, b= 3668, c=0, sum= 4901, carry=0
                 2190                2190 a=20171, b=18841, c=0, sum=24830, carry=0
                 2200                2200 a=25202, b= 9010, c=0, sum=39012, carry=0
                 2210                2210 a=27065, b= 7120, c=0, sum=34212, carry=0
                 2220                2220 a=19598, b=11815, c=0, sum=34185, carry=0
                 2230                2230 a=24475, b=27158, c=0, sum=31413, carry=0
                 2240                2240 a=15227, b=11600, c=0, sum=51633, carry=0
                 2250                2250 a=12191, b= 4473, c=0, sum=26827, carry=0
                 2260                2260 a=17884, b=17689, c=0, sum=16664, carry=0
                 2270                2270 a=20309, b=20911, c=0, sum=35573, carry=0
                 2280                2280 a=17520, b=16225, c=0, sum=41348, carry=0
                 2290                2290 a=25785, b=27207, c=0, sum=33745, carry=0
                 2300                2300 a=  330, b=26552, c=0, sum=52960, carry=0
                 2310                2310 a=22603, b=14292, c=0, sum=26882, carry=0
                 2320                2320 a=17336, b=12071, c=0, sum=36895, carry=0
                 2330                2330 a= 8854, b=22544, c=0, sum=29407, carry=0
                 2340                2340 a=12791, b=18917, c=0, sum=64166, carry=0
                 2350                2350 a= 7732, b=17223, c=0, sum=31708, carry=0
                 2360                2360 a= 9062, b=26521, c=0, sum=24955, carry=0
                 2370                2370 a= 8411, b= 7681, c=0, sum=35455, carry=0
                 2380                2380 a=24603, b=22096, c=0, sum=24284, carry=0
                 2390                2390 a=25042, b=29669, c=0, sum=46699, carry=0
                 2400                2400 a= 3136, b=21743, c=0, sum=54711, carry=0
                 2410                2410 a=14998, b=18511, c=0, sum=24879, carry=0
                 2420                2420 a=21225, b= 3320, c=0, sum=33509, carry=0
                 2430                2430 a=28934, b= 5439, c=0, sum=24545, carry=0
                 2440                2440 a= 9249, b= 2357, c=0, sum=34373, carry=0
                 2450                2450 a= 5918, b=11632, c=0, sum=11606, carry=0
                 2460                2460 a=  533, b=21416, c=0, sum=17550, carry=0
                 2470                2470 a=16740, b= 8569, c=0, sum=21949, carry=0
                 2480                2480 a=10529, b=17623, c=0, sum=25309, carry=0
                 2490                2490 a= 2270, b=19441, c=0, sum=28152, carry=0
                 2500                2500 a= 6341, b= 7992, c=0, sum=21711, carry=0
